Adj_Open,Adj_High,Adj_Low,Adj_Close
0.272359667,0.274236018,0.27062765,0.27062765
0.265142929,0.265142929,0.261534561,0.261534561
0.268895633,0.27062765,0.268895633,0.268895633
0.281452756,0.283329107,0.281452756,0.281452756
0.304834985,0.306711336,0.304834985,0.304834985
0.330093565,0.331969917,0.330093565,0.330093565
0.317536442,0.317536442,0.315660091,0.315660091
0.321144811,0.322876828,0.321144811,0.321144811
0.315660091,0.315660091,0.313928074,0.313928074
0.315660091,0.317536442,0.315660091,0.315660091
0.304834985,0.304834985,0.301370951,0.301370951
0.306711336,0.310319705,0.306711336,0.306711336
0.319412794,0.321144811,0.319412794,0.319412794
0.319412794,0.321144811,0.319412794,0.319412794
0.319412794,0.319412794,0.317536442,0.317536442
0.304834985,0.304834985,0.301370951,0.301370951
0.299494599,0.299494599,0.297618247,0.297618247
0.277844387,0.277844387,0.274236018,0.274236018
0.286793141,0.288669493,0.286793141,0.286793141
0.27062765,0.27062765,0.268895633,0.268895633
0.261534561,0.261534561,0.259802544,0.259802544
0.259802544,0.259802544,0.258070527,0.258070527
0.27062765,0.272359667,0.27062765,0.27062765
0.288669493,0.292277862,0.288669493,0.288669493
0.294154213,0.297618247,0.294154213,0.294154213
0.290545845,0.290545845,0.286793141,0.286793141
0.292277862,0.294154213,0.292277862,0.292277862
0.297618247,0.299494599,0.297618247,0.297618247
0.299494599,0.301370951,0.299494599,0.299494599
0.292277862,0.292277862,0.290545845,0.290545845
0.283329107,0.283329107,0.279576404,0.279576404
0.281452756,0.285061124,0.281452756,0.281452756
0.290545845,0.292277862,0.290545845,0.290545845
0.294154213,0.29588623,0.294154213,0.294154213
0.294154213,0.294154213,0.290545845,0.290545845
0.292277862,0.29588623,0.292277862,0.292277862
0.292277862,0.294154213,0.292277862,0.292277862
0.286793141,0.286793141,0.285061124,0.285061124
0.285061124,0.286793141,0.285061124,0.285061124
0.268895633,0.268895633,0.267019281,0.267019281
0.267019281,0.268895633,0.267019281,0.267019281
0.27062765,0.272359667,0.27062765,0.27062765
0.268895633,0.268895633,0.267019281,0.267019281
0.27062765,0.272359667,0.27062765,0.27062765
0.267019281,0.267019281,0.265142929,0.265142929
0.268895633,0.27062765,0.268895633,0.268895633
0.272359667,0.274236018,0.272359667,0.272359667
0.272359667,0.272359667,0.27062765,0.27062765
0.268895633,0.268895633,0.267019281,0.267019281
0.265142929,0.265142929,0.263410912,0.263410912
0.265142929,0.267019281,0.265142929,0.265142929
0.265142929,0.265142929,0.263410912,0.263410912
0.263410912,0.265142929,0.263410912,0.263410912
0.265142929,0.267019281,0.265142929,0.265142929
0.265142929,0.267019281,0.265142929,0.265142929
0.265142929,0.267019281,0.265142929,0.265142929
0.261534561,0.261534561,0.259802544,0.259802544
0.2417607,0.2417607,0.240028683,0.240028683
0.238152332,0.238152332,0.23627598,0.23627598
0.238152332,0.240028683,0.238152332,0.238152332
0.23627598,0.23627598,0.234543963,0.234543963
0.234543963,0.238152332,0.234543963,0.234543963
0.221842505,0.221842505,0.220110488,0.220110488
0.220110488,0.220110488,0.218378471,0.218378471
0.21650212,0.21650212,0.214625768,0.214625768
0.205677014,0.205677014,0.203800662,0.203800662
0.220110488,0.221842505,0.220110488,0.220110488
0.240028683,0.2417607,0.240028683,0.240028683
0.258070527,0.259802544,0.258070527,0.258070527
0.256194175,0.256194175,0.254317823,0.254317823
0.2417607,0.2417607,0.240028683,0.240028683
0.240028683,0.240028683,0.238152332,0.238152332
0.23627598,0.23627598,0.234543963,0.234543963
0.240028683,0.2417607,0.240028683,0.240028683
0.243637052,0.245369069,0.243637052,0.243637052
0.243637052,0.245369069,0.243637052,0.243637052
0.256194175,0.258070527,0.256194175,0.256194175
0.256194175,0.258070527,0.256194175,0.256194175
0.256194175,0.258070527,0.256194175,0.256194175
0.256194175,0.256194175,0.254317823,0.254317823
0.252585806,0.252585806,0.250853789,0.250853789
0.252585806,0.254317823,0.252585806,0.252585806
0.252585806,0.254317823,0.250853789,0.250853789
0.232811946,0.232811946,0.230935594,0.230935594
0.232811946,0.234543963,0.232811946,0.232811946
0.23627598,0.238152332,0.23627598,0.23627598
0.243637052,0.245369069,0.243637052,0.243637052
0.2417607,0.2417607,0.238152332,0.238152332
0.229059243,0.229059243,0.227327226,0.227327226
0.227327226,0.227327226,0.225595209,0.225595209
0.223718857,0.223718857,0.221842505,0.221842505
0.221842505,0.223718857,0.221842505,0.221842505
0.227327226,0.229059243,0.227327226,0.227327226
0.221842505,0.221842505,0.220110488,0.220110488
0.212893751,0.212893751,0.211017399,0.211017399
0.211017399,0.212893751,0.211017399,0.211017399
0.212893751,0.214625768,0.212893751,0.212893751
0.220110488,0.221842505,0.220110488,0.220110488
0.227327226,0.229059243,0.227327226,0.227327226
0.227327226,0.227327226,0.223718857,0.223718857
0.230935594,0.232811946,0.230935594,0.230935594
0.234543963,0.23627598,0.234543963,0.234543963
0.232811946,0.232811946,0.230935594,0.230935594
0.225595209,0.225595209,0.223718857,0.223718857
