Date,AAPL,MSFT,GOOG,SPY
2016-05-04,91.491407499281,47.821771412769,695.7,195.33294677734375
2016-05-05,91.122294696969,47.88889641776,701.43,195.2948455810547
2016-05-06,90.614105151255,48.320414306987,711.12,196.0094451904297
2016-05-09,90.682515282409,48.013557141314,712.9,196.17141723632812
2016-05-10,91.298206462794,48.924539351904,723.18,198.61056518554688
2016-05-11,90.408874757793,48.953307211186,715.29,196.7526397705078
2016-05-12,88.288160692023,49.39441438684,713.31,196.80979919433594
2016-05-13,88.464072457847,48.982075070468,710.83,195.0947723388672
2016-05-16,91.747758753233,49.701271552513,716.49,197.01939392089844
2016-05-17,91.366616593947,48.780700055495,706.23,195.18052673339844
2016-05-18,92.412314313014,49.070429020386,706.63,195.23768615722656
2016-05-19,92.060490781365,48.597205044398,700.32,194.5612030029297
2016-05-20,93.057324121036,48.886934009289,709.74,195.79029846191406
2016-05-23,94.23984210241,48.31713371167,704.24,195.52352905273438
2016-05-24,95.676454856642,49.823724329103,720.09,198.0579376220703
2016-05-25,97.357389507852,50.335578833744,725.27,199.40139770507812
2016-05-26,98.129446702303,50.113453293994,724.12,199.45855712890625
2016-05-27,98.070809447028,50.528731477005,732.66,200.3161163330078
2016-05-31,97.591938528951,51.185450464091,735.72,199.93499755859375
2016-06-01,96.223735905873,51.040585981646,734.15,200.3446807861328
2016-06-02,95.500543090818,50.683253591614,730.4,200.95443725585938
2016-06-03,95.6960006084,50.016876972364,722.34,200.35418701171875
2016-06-06,96.389874795818,50.345236465907,716.55,201.3737030029297
2016-06-07,96.780789830983,50.316263569418,716.65,201.68809509277344
2016-06-08,96.692833948071,50.25831777644,728.28,202.34552001953125
2016-06-09,97.386708135489,49.852697225592,728.58,202.0692596435547
2016-06-10,96.585332313401,49.71749037531,719.41,200.1540985107422
2016-06-13,95.129173807411,48.423367665463,718.36,198.61056518554688
2016-06-14,95.24644831796,48.123981068409,718.27,198.2199249267578
2016-06-15,94.933716289828,47.988774218126,718.92,197.94363403320312
2016-06-16,95.334404200873,48.664808469539,710.36,198.53433227539062
2016-06-17,93.164825755707,48.4137100333,691.72,197.79539489746094
2016-06-20,92.940049610487,48.355764240322,693.71,199.06924438476562
2016-06-21,93.731652556696,49.437419042582,695.94,199.63429260253906
2016-06-22,93.379829025047,49.244266399321,697.46,199.30865478515625
2016-06-23,93.917337198399,50.13276855832,701.87,201.9041748046875
2016-06-24,91.278660711035,48.123981068409,675.22,194.6539764404297
2016-06-27,89.949549591474,46.771912565584,668.26,191.1677703857422
2016-06-28,91.464345352739,47.747333414051,680.04,194.6156463623047
2016-06-29,92.255948298948,48.809672951985,684.11,197.9294891357422
2016-06-30,93.428693404443,49.418103778256,692.1,200.63034057617188
2016-07-01,93.712106804938,49.408446146093,699.21,201.05177307128906
2016-07-05,92.832547975816,49.418103778256,694.49,199.60557556152344
2016-07-06,93.360283273289,49.62091405368,697.77,200.802734375
2016-07-07,93.760971184333,49.62091405368,695.36,200.67825317382812
2016-07-08,94.484163999389,50.509416212679,705.63,203.6664276123047
2016-07-11,94.777350275762,50.789487545407,715.09,204.38473510742188
2016-07-12,95.207356814444,51.388260739515,720.64,205.86924743652344
2016-07-13,94.669848641092,51.677989704406,716.98,205.84054565429688
2016-07-14,96.546240809884,51.900115244156,720.95,206.98985290527344
2016-07-15,96.536467934005,51.861484715504,719.85,206.71209716796875
2016-07-18,97.562619901313,52.112583151743,733.78,207.26759338378906
2016-07-19,97.60171140483,51.272369153559,736.96,207.05686950683594
2016-07-20,97.689667287742,53.995821423535,741.19,207.9188690185547
2016-07-21,97.171704866148,53.889587469741,738.63,207.13348388671875
2016-07-22,96.419193423456,54.633225146295,742.74,208.0625457763672
2016-07-25,95.129173807411,54.787747260904,739.77,207.49742126464844
2016-07-26,94.47439112351,54.816720157393,738.42,207.5932159423828
2016-07-27,100.6117571756,54.2662351241,741.77,207.37290954589844
2016-07-28,101.9701869228,54.285550388426,745.91,207.6123809814453
2016-07-29,101.84313953637,54.739459100089,768.79,207.9475860595703
2016-08-01,103.64134869813,54.642882778458,772.88,207.77520751953125
2016-08-02,102.10700718511,54.642882778458,771.07,206.4439239501953
2016-08-03,103.38725392527,55.019530432817,773.18,207.0472869873047
2016-08-04,104.02249085742,55.425150983664,771.61,207.26759338378906
2016-08-05,105.60439517668,55.975636016957,782.22,208.9628143310547
2016-08-08,106.47886402397,56.072212338588,781.76,208.8383331298828
2016-08-09,106.91118570129,56.20741918887,784.26,208.9628143310547
2016-08-10,106.11532079532,56.033581809936,784.68,208.4456024169922
2016-08-11,106.04654234666,56.303995510501,784.85,209.4129638671875
2016-08-12,106.29217966332,55.956320752631,783.22,209.23098754882812
2016-08-15,107.56949370993,56.130158131566,782.44,209.83436584472656
2016-08-16,107.47123878326,55.821113902349,777.14,208.7521209716797
2016-08-17,107.3140309006,55.937731828329,779.91,209.144775390625
2016-08-18,107.17647400328,55.976604470322,777.5,209.61407470703125
2016-08-19,107.45158779793,55.996040791318,775.42,209.3075714111328
2016-08-22,106.6164209213,56.04463159381,772.15,209.2980194091797
2016-08-23,106.95048767195,56.258431124773,772.08,209.71945190429688
2016-08-24,106.14479727332,56.316740087763,769.64,208.6467742919922
2016-08-25,105.69282461068,56.530539618726,769.41,208.5030975341797
2016-08-26,105.0738185727,56.39448537175,769.54,208.11038208007812
2016-08-29,104.95591266071,56.462512495238,772.15,209.1351776123047
2016-08-30,104.15022226208,56.258431124773,769.09,208.79039001464844
2016-08-31,104.24847718874,55.840550223345,767.05,208.1966094970703
2016-09-01,104.86748322671,55.966886309824,768.78,208.20616149902344
2016-09-02,105.85003249333,56.04463159381,771.46,209.144775390625
2016-09-06,105.82055601534,55.98632263082,780.08,209.7769012451172
2016-09-07,106.46903853131,56.034913433312,780.35,209.75775146484375
2016-09-08,103.6785986141,55.81139574185,775.32,209.2788848876953
2016-09-09,101.33030586687,54.625780161055,759.66,204.26980590820312
2016-09-12,103.59999467277,55.442105642914,769.02,207.20053100585938
2016-09-13,106.06619333199,54.936761297002,759.69,204.22195434570312
2016-09-14,109.81953153049,54.674370963547,762.49,204.14529418945312
2016-09-15,113.55321874366,55.578159889891,771.76,206.18533325195312
2016-09-16,112.91456172036,55.636468852881,768.88,205.3883819580078
2016-09-19,111.59794570308,55.325487716934,765.7,205.42684936523438
2016-09-20,111.58812021042,55.208869790955,771.41,205.4364776611328
2016-09-21,111.56846922508,56.132095038295,776.22,207.74671936035156
2016-09-22,112.61979694037,56.190404001285,787.21,209.0558319091797
2016-09-23,110.74312784112,55.81139574185,786.9,207.91036987304688
2016-09-26,110.91016121645,55.296333235439,774.21,206.22581481933594
2016-09-27,111.11649656244,56.316740087763,783.01,207.50607299804688
2016-09-28,111.96148893173,56.39448537175,781.56,208.53604125976562
2016-09-29,110.22237672981,55.782241260355,775.01,206.64935302734375
2016-09-30,111.07719459177,55.976604470322,777.29,208.20875549316406
2016-10-03,110.55644348046,55.801677581352,772.56,207.7082061767578
